block_num,Ei
3031,4248.068127
3032,1732.448044
3033,20766.93911
3034,3186.051095
3035,178.1516877
3036,41185.572
3037,178.1516877
3038,10760.22859
3039,1.751122139
3040,23319.59307
3041,1828.695158
3042,3798.960695
3043,6.201922626
3044,11477.57716
3045,1828.695158
3046,8608.182871
3047,1567.312479
3048,5746.812422
3049,5224.374929
3050,14208.95834
3051,157.9285155
3052,5224.374929
3053,8358.999887
3054,6845.030627
3055,7895.706283
3056,157.9285155
3057,1062.017032
3058,2380.628942
3059,2510.924532
3060,190.9415736
3061,1062.017032
3062,178.1516877
3063,178.1516877
3064,194.9786015
3065,157.9285155
3066,1062.017032
3067,47.42365455
3068,6.201922626
3069,78.96425776
3070,1062.017032
3071,6.201922626
3072,8237.1144
3073,1062.017032
3100,1342.390568
3101,1794.434932
3150,21869.37603
3151,21869.37603
3152,21869.37603
3153,14579.58402
3160,21895.10466
3161,21895.10466
3162,21895.10466
3163,14596.73644
3170,108.2468373
3171,216.4936747
3200,4248.068127
3201,41185.572
3202,45304.1292
3203,3186.051095
3204,45304.1292
3205,41185.572
3206,3186.051095
3207,41185.572
3208,6269.249915
3209,1347.45959
3210,6791.687408
3211,2655.042579
3212,6791.687408
3213,20404.64394
3214,20404.64394
3215,10760.22859
3216,6269.249915
3217,10760.22859
3218,6269.249915
3219,167.0172072
3220,3186.051095
3221,167.0172072
3222,7836.562394
3223,16394.95193
3224,5224.374929
3225,1062.017032
3226,1058.718249
3227,15301.95513
3228,7314.124901
3229,14208.95834
3230,13115.96154
3231,32948.4576
3232,3186.051095
3233,2089.749972
3234,12355.6716
3235,1062.017032
3236,288.7413407
3237,144.7482462
3238,144.7482462
3250,1263.426417
3251,1342.390568
3300,1.751122139
3301,1.751122139
3302,1.751122139
3303,1.751122139
3304,1.751122139
3305,1.751122139
3306,1.751122139
3307,1.751122139
3308,1.751122139
3309,1.751122139
3310,1.751122139
3311,78.96425776
3312,78.96425776
3313,78.96425776
3330,6.201922626
3331,6.201922626
3332,6.201922626
3333,6.201922626
3340,6.201922626
3341,6.201922626
3342,6.201922626
3343,6.201922626
3350,2980.867293
3351,11.29740076
3352,11.29740076
3400,3186.051095
3401,3186.051095
3402,3186.051095
3403,2124.034064
3404,3186.051095
3405,3186.051095
3406,4701.937436
3407,4701.937436
3408,9836.971156
3600,29.5980883
3601,177.5885298
3602,118.3923532
3700,118.3923532
3701,118.3923532
4000,1062.017032
4001,1298.909805
4002,65774.69625
4003,12555.85866
4004,73088.28371
4005,28641.06734
4006,51227.1105
4007,65798.4917
4008,24717.78236
4009,1829.918321
4010,12267.80288
4011,59204.80143
4012,81.76784203
4013,8636.209936
4014,22267.99451
4015,47.1005418
4016,466.0727499
4017,51218.90768
4018,89.36056984
4019,11600.55894
4020,54925.98967
4021,394.8212888
4022,22567.27948
4023,13748.27915
4024,2655.217396
4025,106.5433385
4026,12497.48305
4027,106.5433385
4028,27662.81682
4029,77011.56869
4030,23739.53184
4031,419.2214033
4032,27634.27082
4033,46.9602918
4034,51390.63166
4035,25034.95274
4036,757.661778
4037,509.6785085
4038,39232.84977
4039,16402.88262
4040,405.3497751
4041,46.00777946
4042,10123.568
4043,51002.70469
4044,11518.95459
4045,24418.49739
4046,78.96425776
